kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
111103,Peudada,1111,Kabupaten Bireuen,11,Aceh
111104,Jeumpa,1111,Kabupaten Bireuen,11,Aceh
111105,Peusangan,1111,Kabupaten Bireuen,11,Aceh
111106,Makmur,1111,Kabupaten Bireuen,11,Aceh
111107,Gandapura,1111,Kabupaten Bireuen,11,Aceh
111108,Pandrah,1111,Kabupaten Bireuen,11,Aceh
111109,Juli,1111,Kabupaten Bireuen,11,Aceh
111110,Jangka,1111,Kabupaten Bireuen,11,Aceh
111111,Simpang Mamplam,1111,Kabupaten Bireuen,11,Aceh
111112,Peulimbang,1111,Kabupaten Bireuen,11,Aceh
111113,Kota Juang,1111,Kabupaten Bireuen,11,Aceh
111114,Kuala,1111,Kabupaten Bireuen,11,Aceh
111115,Peusangan Siblah Krueng,1111,Kabupaten Bireuen,11,Aceh
111116,Peusangan Selatan,1111,Kabupaten Bireuen,11,Aceh
111117,Kuta Blang,1111,Kabupaten Bireuen,11,Aceh
111201,Blangpidie,1112,Kabupaten Aceh Barat Daya,11,Aceh
111202,Tangan-Tangan,1112,Kabupaten Aceh Barat Daya,11,Aceh
111203,Manggeng,1112,Kabupaten Aceh Barat Daya,11,Aceh
111204,Susoh,1112,Kabupaten Aceh Barat Daya,11,Aceh
111205,Kuala Batee,1112,Kabupaten Aceh Barat Daya,11,Aceh
111206,Babah Rot,1112,Kabupaten Aceh Barat Daya,11,Aceh
111207,Setia,1112,Kabupaten Aceh Barat Daya,11,Aceh
111208,Jeumpa,1112,Kabupaten Aceh Barat Daya,11,Aceh
111209,Lembah Sabil,1112,Kabupaten Aceh Barat Daya,11,Aceh
111301,Blangkejeren,1113,Kabupaten Gayo Lues,11,Aceh
111302,Kutapanjang,1113,Kabupaten Gayo Lues,11,Aceh
111303,Rikit Gaib,1113,Kabupaten Gayo Lues,11,Aceh
111304,Terangun,1113,Kabupaten Gayo Lues,11,Aceh
111305,Pining,1113,Kabupaten Gayo Lues,11,Aceh
111306,Blangpegayon,1113,Kabupaten Gayo Lues,11,Aceh
111307,Puteri Betung,1113,Kabupaten Gayo Lues,11,Aceh
111308,Dabun Gelang,1113,Kabupaten Gayo Lues,11,Aceh
111309,Blangjerango,1113,Kabupaten Gayo Lues,11,Aceh
111310,Teripe Jaya,1113,Kabupaten Gayo Lues,11,Aceh
111311,Pantan Cuaca,1113,Kabupaten Gayo Lues,11,Aceh
111401,Teunom,1114,Kabupaten Aceh Jaya,11,Aceh
111402,Krueng Sabee,1114,Kabupaten Aceh Jaya,11,Aceh
111403,Setia Bakti,1114,Kabupaten Aceh Jaya,11,Aceh
111404,Sampoi Niet,1114,Kabupaten Aceh Jaya,11,Aceh
111405,Jaya,1114,Kabupaten Aceh Jaya,11,Aceh
111406,Panga,1114,Kabupaten Aceh Jaya,11,Aceh
111407,Indra Jaya,1114,Kabupaten Aceh Jaya,11,Aceh
111408,Darul Hikmah,1114,Kabupaten Aceh Jaya,11,Aceh
111409,Pasie Raya,1114,Kabupaten Aceh Jaya,11,Aceh
111501,Kuala,1115,Kabupaten Nagan Raya,11,Aceh
111502,Seunagan,1115,Kabupaten Nagan Raya,11,Aceh
111503,Seunagan Timur,1115,Kabupaten Nagan Raya,11,Aceh
111504,Beutong,1115,Kabupaten Nagan Raya,11,Aceh
111505,Darul Makmur,1115,Kabupaten Nagan Raya,11,Aceh
111506,Suka Makmue,1115,Kabupaten Nagan Raya,11,Aceh
111507,Kuala Pesisir,1115,Kabupaten Nagan Raya,11,Aceh
111508,Tadu Raya,1115,Kabupaten Nagan Raya,11,Aceh
111509,Tripa Makmur,1115,Kabupaten Nagan Raya,11,Aceh
111510,Beutong Ateuh Banggalang,1115,Kabupaten Nagan Raya,11,Aceh
111601,Manyak Payed,1116,Kabupaten Aceh Tamiang,11,Aceh
111602,Bendahara,1116,Kabupaten Aceh Tamiang,11,Aceh
111603,Karang Baru,1116,Kabupaten Aceh Tamiang,11,Aceh
111604,Seruway,1116,Kabupaten Aceh Tamiang,11,Aceh
111605,Kota Kualasinpang,1116,Kabupaten Aceh Tamiang,11,Aceh
111606,Kejuruan Muda,1116,Kabupaten Aceh Tamiang,11,Aceh
111607,Tamiang Hulu,1116,Kabupaten Aceh Tamiang,11,Aceh
111608,Rantau,1116,Kabupaten Aceh Tamiang,11,Aceh
111609,Banda Mulia,1116,Kabupaten Aceh Tamiang,11,Aceh
111610,Bandar Pusaka,1116,Kabupaten Aceh Tamiang,11,Aceh
111611,Tenggulun,1116,Kabupaten Aceh Tamiang,11,Aceh
111612,Sekerak,1116,Kabupaten Aceh Tamiang,11,Aceh
111701,Pintu Rime Gayo,1117,Kabupaten Bener Meriah,11,Aceh
111702,Permata,1117,Kabupaten Bener Meriah,11,Aceh
111703,Syiah Utama,1117,Kabupaten Bener Meriah,11,Aceh
111704,Bandar,1117,Kabupaten Bener Meriah,11,Aceh
111705,Bukit,1117,Kabupaten Bener Meriah,11,Aceh
111706,Wih Pesam,1117,Kabupaten Bener Meriah,11,Aceh
111707,Timang gajah,1117,Kabupaten Bener Meriah,11,Aceh
111708,Bener Kelipah,1117,Kabupaten Bener Meriah,11,Aceh
111709,Mesidah,1117,Kabupaten Bener Meriah,11,Aceh
111710,Gajah Putih,1117,Kabupaten Bener Meriah,11,Aceh
111801,Meureudu,1118,Kabupaten Pidie Jaya,11,Aceh
111802,Ulim,1118,Kabupaten Pidie Jaya,11,Aceh
111803,Jangka Buya,1118,Kabupaten Pidie Jaya,11,Aceh
111804,Bandar Dua,1118,Kabupaten Pidie Jaya,11,Aceh
111805,Meurah Dua,1118,Kabupaten Pidie Jaya,11,Aceh
111806,Bandar Baru,1118,Kabupaten Pidie Jaya,11,Aceh
111807,Panteraja,1118,Kabupaten Pidie Jaya,11,Aceh
111808,Trienggadeng,1118,Kabupaten Pidie Jaya,11,Aceh
117101,Baiturrahman,1171,Kota Banda Aceh,11,Aceh
117102,Kuta Alam,1171,Kota Banda Aceh,11,Aceh
117103,Meuraxa,1171,Kota Banda Aceh,11,Aceh
117104,Syiah Kuala,1171,Kota Banda Aceh,11,Aceh
117105,Lueng Bata,1171,Kota Banda Aceh,11,Aceh
117106,Kuta Raja,1171,Kota Banda Aceh,11,Aceh
117107,Banda Raya,1171,Kota Banda Aceh,11,Aceh
