kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
110508,Pante Ceureumen,1105,Kabupaten Aceh Barat,11,Aceh,1191,5823,7019,192,7169,PANTE CEUREUMEN
110509,Meureubo,1105,Kabupaten Aceh Barat,11,Aceh,2120,13929,15853,624,16482,MEUREUBO
110510,Woyla Barat,1105,Kabupaten Aceh Barat,11,Aceh,649,4351,5000,126,5126,WOYLA BARAT
110511,Woyla Timur,1105,Kabupaten Aceh Barat,11,Aceh,490,2789,3280,106,3386,WOYLA TIMUR
110512,Panton Reu,1105,Kabupaten Aceh Barat,11,Aceh,534,3520,4054,88,4142,PANTON REU
110601,Lhoong,1106,Kabupaten Aceh Besar,11,Aceh,656,5370,6026,97,6123,LHOONG
110602,Lhoknga,1106,Kabupaten Aceh Besar,11,Aceh,706,9297,9856,324,10163,LHOKNGA
110603,Indrapuri,1106,Kabupaten Aceh Besar,11,Aceh,1046,12441,13375,525,13914,INDRAPURI
110604,Seulimeum,1106,Kabupaten Aceh Besar,11,Aceh,1224,11955,13206,409,13817,SEULIMEUM
110605,Montasik,1106,Kabupaten Aceh Besar,11,Aceh,638,11788,12426,328,12768,MONTASIK
110606,Sukamakmur,1106,Kabupaten Aceh Besar,11,Aceh,693,8568,9080,405,9486,SUKAMAKMUR
110607,Darul Imarah,1106,Kabupaten Aceh Besar,11,Aceh,2708,24861,27525,604,27730,DARUL IMARAH
110608,Peukan Bada,1106,Kabupaten Aceh Besar,11,Aceh,978,9720,10698,206,10904,PEUKAN BADA
110609,Mesjid Raya,1106,Kabupaten Aceh Besar,11,Aceh,1137,9776,11005,362,11182,MESJID RAYA
110610,Ingin Jaya,1106,Kabupaten Aceh Besar,11,Aceh,1657,17915,19034,369,19674,INGIN JAYA
110611,Kuta Baro,1106,Kabupaten Aceh Besar,11,Aceh,1270,13971,15242,480,15792,KUTA BARO
110612,Darussalam,1106,Kabupaten Aceh Besar,11,Aceh,852,11751,12415,493,12908,DARUSSALAM
110613,Pulo Aceh,1106,Kabupaten Aceh Besar,11,Aceh,565,2153,2718,46,2764,PULO ACEH
110614,Lembah Seulawah,1106,Kabupaten Aceh Besar,11,Aceh,824,5004,5831,218,6156,LEMBAH SEULAWAH
110615,Kota Jantho,1106,Kabupaten Aceh Besar,11,Aceh,605,4327,4932,109,5041,KOTA JANTHO
110616,Kuta Cot Glie,1106,Kabupaten Aceh Besar,11,Aceh,814,7797,8616,315,8941,KOTA COT GLIE
110617,Kuta Malaka,1106,Kabupaten Aceh Besar,11,Aceh,244,3822,4058,99,4182,KUTA MALAKA
110618,Simpang Tiga,1106,Kabupaten Aceh Besar,11,Aceh,225,3593,3818,118,3936,SIMPANG TIGA
110619,Darul Kamal,1106,Kabupaten Aceh Besar,11,Aceh,312,4395,4707,103,4820,DARUL KAMAL
110620,Baitussalam,1106,Kabupaten Aceh Besar,11,Aceh,1062,9345,10407,246,10727,BAITUSSALAM
110621,Krueng Barona Jaya,1106,Kabupaten Aceh Besar,11,Aceh,668,7693,8201,416,8613,KRUENG BARONA JAYA
110622,Leupung,1106,Kabupaten Aceh Besar,11,Aceh,186,1646,1832,32,1864,LEUPUNG
110623,Blang Bintang,1106,Kabupaten Aceh Besar,11,Aceh,531,6199,6637,243,6696,BLANG BINTANG
110703,Batee,1107,Kabupaten Pidie,11,Aceh,669,10092,10760,587,11343,BATEE
110704,Delima,1107,Kabupaten Pidie,11,Aceh,803,9523,10318,346,10672,DELIMA
110705,Geumpang,1107,Kabupaten Pidie,11,Aceh,291,2936,3227,183,3410,GEUMPANG
110706,Glumpang Tiga,1107,Kabupaten Pidie,11,Aceh,799,10058,10863,276,11213,GEULUMPANG TIGA
110707,Indrajaya,1107,Kabupaten Pidie,11,Aceh,915,11381,12294,455,12750,INDRA JAYA
110708,Kembang Tanjong,1107,Kabupaten Pidie,11,Aceh,912,11167,12079,439,12525,KEMBANG TANJONG
110709,Kota Sigli,1107,Kabupaten Pidie,11,Aceh,1162,9267,10319,290,10812,KOTA SIGLI
110711,Mila,1107,Kabupaten Pidie,11,Aceh,273,4604,4739,290,5029,MILA
110712,Muara Tiga,1107,Kabupaten Pidie,11,Aceh,457,10630,11084,266,11352,MUARA TIGA
110713,Mutiara,1107,Kabupaten Pidie,11,Aceh,819,10002,10721,387,11108,MUTIARA
110714,Padang Tiji,1107,Kabupaten Pidie,11,Aceh,1268,11253,12415,482,12916,PADANG TIJI
110715,Peukan Baro,1107,Kabupaten Pidie,11,Aceh,948,10598,11399,604,11993,PEUKAN BARO
110716,Pidie,1107,Kabupaten Pidie,11,Aceh,1888,22519,24397,815,25241,PIDIE
110717,Sakti,1107,Kabupaten Pidie,11,Aceh,939,10477,11380,449,11827,SAKTI
110718,Simpang Tiga,1107,Kabupaten Pidie,11,Aceh,919,11939,12690,681,13388,SIMPANG TIGA
110719,Tangse,1107,Kabupaten Pidie,11,Aceh,1142,12539,13680,499,14180,TANGSE
110721,Tiro/Truseb,1107,Kabupaten Pidie,11,Aceh,280,3987,4277,264,4531,TIRO/TRUSEB
110722,Keumala,1107,Kabupaten Pidie,11,Aceh,552,4744,5296,304,5599,KEUMALA
110724,Mutiara Timur,1107,Kabupaten Pidie,11,Aceh,1324,17281,18575,729,19316,MUTIARA TIMUR
110725,Grong-grong,1107,Kabupaten Pidie,11,Aceh,279,3163,3442,153,3595,GRONG-GRONG
110727,Mane,1107,Kabupaten Pidie,11,Aceh,548,3384,3932,292,4224,MANE
110729,Glumpang Baro,1107,Kabupaten Pidie,11,Aceh,389,5686,6075,269,6294,GLUMPANG BARO
110731,Titeue,1107,Kabupaten Pidie,11,Aceh,316,3202,3518,190,3708,TITEUE
110801,Baktiya,1108,Kabupaten Aceh Utara,11,Aceh,1371,17166,18435,797,19255,BAKTIYA
110802,Dewantara,1108,Kabupaten Aceh Utara,11,Aceh,1502,23080,24569,554,25235,DEWANTARA
110803,Kuta Makmur,1108,Kabupaten Aceh Utara,11,Aceh,1374,12786,14159,496,14655,KUTA MAKMUR
