kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
110705,Geumpang,1107,Kabupaten Pidie,11,Aceh,291,2936,3227,183,3410
110706,Glumpang Tiga,1107,Kabupaten Pidie,11,Aceh,799,10058,10863,276,11213
110707,Indrajaya,1107,Kabupaten Pidie,11,Aceh,915,11381,12294,455,12750
110708,Kembang Tanjong,1107,Kabupaten Pidie,11,Aceh,912,11167,12079,439,12525
110709,Kota Sigli,1107,Kabupaten Pidie,11,Aceh,1162,9267,10319,290,10812
110711,Mila,1107,Kabupaten Pidie,11,Aceh,273,4604,4739,290,5029
110712,Muara Tiga,1107,Kabupaten Pidie,11,Aceh,457,10630,11084,266,11352
110713,Mutiara,1107,Kabupaten Pidie,11,Aceh,819,10002,10721,387,11108
110714,Padang Tiji,1107,Kabupaten Pidie,11,Aceh,1268,11253,12415,482,12916
110715,Peukan Baro,1107,Kabupaten Pidie,11,Aceh,948,10598,11399,604,11993
110716,Pidie,1107,Kabupaten Pidie,11,Aceh,1888,22519,24397,815,25241
110717,Sakti,1107,Kabupaten Pidie,11,Aceh,939,10477,11380,449,11827
110718,Simpang Tiga,1107,Kabupaten Pidie,11,Aceh,919,11939,12690,681,13388
110719,Tangse,1107,Kabupaten Pidie,11,Aceh,1142,12539,13680,499,14180
110721,Tiro/Truseb,1107,Kabupaten Pidie,11,Aceh,280,3987,4277,264,4531
110722,Keumala,1107,Kabupaten Pidie,11,Aceh,552,4744,5296,304,5599
110724,Mutiara Timur,1107,Kabupaten Pidie,11,Aceh,1324,17281,18575,729,19316
110725,Grong-grong,1107,Kabupaten Pidie,11,Aceh,279,3163,3442,153,3595
110727,Mane,1107,Kabupaten Pidie,11,Aceh,548,3384,3932,292,4224
110729,Glumpang Baro,1107,Kabupaten Pidie,11,Aceh,389,5686,6075,269,6294
110731,Titeue,1107,Kabupaten Pidie,11,Aceh,316,3202,3518,190,3708
110801,Baktiya,1108,Kabupaten Aceh Utara,11,Aceh,1371,17166,18435,797,19255
110802,Dewantara,1108,Kabupaten Aceh Utara,11,Aceh,1502,23080,24569,554,25235
110803,Kuta Makmur,1108,Kabupaten Aceh Utara,11,Aceh,1374,12786,14159,496,14655
110804,Lhoksukon,1108,Kabupaten Aceh Utara,11,Aceh,2553,21096,23660,752,24345
110805,Matangkuli,1108,Kabupaten Aceh Utara,11,Aceh,889,8909,9770,214,9894
110806,Muara Batu,1108,Kabupaten Aceh Utara,11,Aceh,685,13912,14491,575,15238
110807,Meurah Mulia,1108,Kabupaten Aceh Utara,11,Aceh,966,10342,11307,446,11754
110808,Samudera,1108,Kabupaten Aceh Utara,11,Aceh,1007,13297,14135,604,14754
110809,Seunuddon,1108,Kabupaten Aceh Utara,11,Aceh,707,12730,13437,355,13790
110810,Syamtalira Aron,1108,Kabupaten Aceh Utara,11,Aceh,726,9435,10161,260,10421
110811,Syamtalira Bayu,1108,Kabupaten Aceh Utara,11,Aceh,698,10100,10812,436,11055
110812,Tanah Luas,1108,Kabupaten Aceh Utara,11,Aceh,1044,12636,13418,461,13978
110813,Tanah Pasir,1108,Kabupaten Aceh Utara,11,Aceh,361,4570,4931,158,5089
110814,Tanah Jambo Aye,1108,Kabupaten Aceh Utara,11,Aceh,1566,20195,21396,988,22410
110815,Sawang,1108,Kabupaten Aceh Utara,11,Aceh,1006,17614,18620,534,19193
110816,Nisam,1108,Kabupaten Aceh Utara,11,Aceh,550,10833,11383,369,11663
110817,Cot Girek,1108,Kabupaten Aceh Utara,11,Aceh,1115,9215,9984,563,10622
110818,Langkahan,1108,Kabupaten Aceh Utara,11,Aceh,1676,9058,10687,471,10934
