id,kodam,kodam_address,kodam_lat,kodam_lng,korem,korem_address,korem_lat,korem_lng,kodim,kodim_address,kodim_lat,kodim_lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
31,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0609/Cimahi,"Makodim Kodim 0609/Cimahi, Cimahi",-6.8797627,107.543859,Cimahi Tengah,Kota Cimahi,-6.8797627,107.543859
32,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0610/Sumedang,"Makodim Kodim 0610/Sumedang, Sumedang",-6.8637662,107.9083597,Sumedang Selatan,Kabupaten Sumedang,-6.8637662,107.9083597
33,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0611/Garut,"Makodim Kodim 0611/Garut, Garut",-7.2144045,107.9048362,Karangpawitan,Kabupaten Garut,-7.2144045,107.9048362
34,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0612/Tasikmalaya,"Makodim Kodim 0612/Tasikmalaya, Tasikmalaya",-7.3261464,108.2221913,Tawang,Kota Tasikmalaya,-7.3261464,108.2221913
35,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0613/Ciamis,"Makodim Kodim 0613/Ciamis, Ciamis",-7.3261209,108.3687234,Ciamis,Kabupaten Ciamis,-7.3261209,108.3687234
36,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0624/Soreang,"Makodim Kodim 0624/Soreang, Soreang",-6.9822729,107.5329211,Kutawaringin,Kabupaten Bandung,-6.9822729,107.5329211
37,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 062/Tarumanagara,"Markas Korem 062/Tarumanagara, Garut",-7.221954,107.9109239,Kodim 0625/Pangandaran,"Makodim Kodim 0625/Pangandaran, Pangandaran",-7.654429,108.4802404,Parigi,Kabupaten Pangandaran,-7.654429,108.4802404
38,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0604/Karawang,"Makodim Kodim 0604/Karawang, Karawang",-6.3004024,107.3047828,Karawang Barat,Kabupaten Karawang,-6.3004024,107.3047828
39,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0605/Subang,"Makodim Kodim 0605/Subang, Subang",-6.5578165,107.7648959,Subang,Kabupaten Subang,-6.5578165,107.7648959
40,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0614/Cirebon,"Makodim Kodim 0614/Cirebon, Cirebon",-6.7299006,108.5448461,Kesambi,Kota Cirebon,-6.7299006,108.5448461
41,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0615/Kuningan,"Makodim Kodim 0615/Kuningan, Kuningan",-6.9695678,108.4999999,Kuningan,Kabupaten Kuningan,-6.9695678,108.4999999
42,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0616/Indramayu,"Makodim Kodim 0616/Indramayu, Indramayu",-6.3515523,108.3252074,Indramayu,Kabupaten Indramayu,-6.3515523,108.3252074
43,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0617/Majalengka,"Makodim Kodim 0617/Majalengka, Majalengka",-6.8333826,108.2409627,Majalengka,Kabupaten Majalengka,-6.8333826,108.2409627
44,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0619/Purwakarta,"Makodim Kodim 0619/Purwakarta, Purwakarta",-6.559501,107.447528,Purwakarta,Kabupaten Purwakarta,-6.559501,107.447528
45,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 063/Sunan Gunung Jati,"Markas Korem 063/Sunan Gunung Jati, Cirebon",-6.7272187,108.53979,Kodim 0620/Sumber,"Makodim Kodim 0620/Sumber, Sumber",-6.7512116,108.4894628,Sumber,Kabupaten Cirebon,-6.7512116,108.4894628
46,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 064/Maulana Yusuf,"Markas Korem 064/Maulana Yusuf, Serang",-6.115682,106.1583027,Kodim 0601/Pandeglang,"Makodim Kodim 0601/Pandeglang, Pandeglang",-6.3083074,106.1055349,Pandeglang,Kabupaten Pandeglang,-6.3083074,106.1055349
47,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 064/Maulana Yusuf,"Markas Korem 064/Maulana Yusuf, Serang",-6.115682,106.1583027,Kodim 0602/Serang,"Makodim Kodim 0602/Serang, Serang",-6.1638804,106.1546173,Cipocok Jaya,Kota Serang,-6.1638804,106.1546173
48,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 064/Maulana Yusuf,"Markas Korem 064/Maulana Yusuf, Serang",-6.115682,106.1583027,Kodim 0603/Lebak,"Makodim Kodim 0603/Lebak, Lebak",-6.3556879,106.2504165,Rangkasbitung,Kabupaten Lebak,-6.3556879,106.2504165
49,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 064/Maulana Yusuf,"Markas Korem 064/Maulana Yusuf, Serang",-6.115682,106.1583027,Kodim 0623/Cilegon,"Makodim Kodim 0623/Cilegon, Cilegon",-6.0093543,106.0413095,Purwakarta,Kota Cilegon,-6.0093543,106.0413095
50,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Berdiri Sendiri,,,,Kodim 0733/Semarang,"Makodim Kodim 0733/Semarang, Semarang",-6.981602,110.412092,Semarang Tengah,Kota Semarang,-6.981602,110.412092
51,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0701/Purwokerto,"Makodim Kodim 0701/Purwokerto, Purwokerto",-7.4243484,109.2258227,Purwokerto Barat,Kabupaten Banyumas,-7.4243484,109.2258227
52,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0702/Purbalingga,"Makodim Kodim 0702/Purbalingga, Purbalingga",-7.3913714,109.3742052,Purbalingga,Kabupaten Purbalingga,-7.3913714,109.3742052
53,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0703/Cilacap,"Makodim Kodim 0703/Cilacap, Cilacap",-7.7281046,109.0080857,Cilacap Selatan,Kabupaten Cilacap,-7.7281046,109.0080857
54,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0704/Banjarnegara,"Makodim Kodim 0704/Banjarnegara, Banjarnegara",-7.3973879,109.6960006,Banjarnegara,Kabupaten Banjarnegara,-7.3973879,109.6960006
55,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0710/Pekalongan,"Makodim Kodim 0710/Pekalongan, Pekalongan",-6.8970543,109.6597597,Pekalongan Barat,Kota Pekalongan,-6.8970543,109.6597597
56,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0711/Pemalang,"Makodim Kodim 0711/Pemalang, Pemalang",-6.8768009,109.3758817,Pemalang,Kabupaten Pemalang,-6.8768009,109.3758817
57,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0712/Tegal,"Makodim Kodim 0712/Tegal, Tegal",-6.9051615,109.1337389,Dukuhturi,Kabupaten Tegal,-6.9051615,109.1337389
58,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0713/Brebes,"Makodim Kodim 0713/Brebes, Brebes",-6.8738733,109.0420757,Brebes,Kabupaten Brebes,-6.8738733,109.0420757
59,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 071/Wijayakusuma,"Markas Korem 071/Wijayakusuma, Purwokerto",-7.4664145,109.2985311,Kodim 0736/Batang,"Makodim Kodim 0736/Batang, Batang",-6.9067637,109.729104,Batang,Kabupaten Batang,-6.9067637,109.729104
60,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0705/Magelang,"Makodim Kodim 0705/Magelang, Magelang",-7.4663404,110.2217267,Magelang Utara,Kota Magelang,-7.4663404,110.2217267
61,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 072/Pamungkas,"Markas Korem 072/Pamungkas, Yogyakarta",-7.7983069,110.3637313,Kodim 0706/Temanggung,"Makodim Kodim 0706/Temanggung, Temanggung",-7.3134861,110.1787696,Temanggung,Kabupaten Temanggung,-7.3134861,110.1787696
