kodim_id,korem_id,kodam_id,kodam,korem,name,address,lat,lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
KODIM-048,KOREM-011,KODAM-03,Kodam III/Siliwangi,Korem 064/Maulana Yusuf,Kodim 0603/Lebak,"Makodim Kodim 0603/Lebak, Lebak",-6.3556879,106.2504165,Rangkasbitung,Kabupaten Lebak,-6.3556879,106.2504165
KODIM-049,KOREM-011,KODAM-03,Kodam III/Siliwangi,Korem 064/Maulana Yusuf,Kodim 0623/Cilegon,"Makodim Kodim 0623/Cilegon, Cilegon",-6.0093543,106.0413095,Purwakarta,Kota Cilegon,-6.0093543,106.0413095
KODIM-050,KOREM-012,KODAM-04,Kodam IV/Diponegoro,Berdiri Sendiri,Kodim 0733/Semarang,"Makodim Kodim 0733/Semarang, Semarang",-6.981602,110.412092,Semarang Tengah,Kota Semarang,-6.981602,110.412092
KODIM-051,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0701/Purwokerto,"Makodim Kodim 0701/Purwokerto, Purwokerto",-7.4243484,109.2258227,Purwokerto Barat,Kabupaten Banyumas,-7.4243484,109.2258227
KODIM-052,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0702/Purbalingga,"Makodim Kodim 0702/Purbalingga, Purbalingga",-7.3913714,109.3742052,Purbalingga,Kabupaten Purbalingga,-7.3913714,109.3742052
KODIM-053,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0703/Cilacap,"Makodim Kodim 0703/Cilacap, Cilacap",-7.7281046,109.0080857,Cilacap Selatan,Kabupaten Cilacap,-7.7281046,109.0080857
KODIM-054,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0704/Banjarnegara,"Makodim Kodim 0704/Banjarnegara, Banjarnegara",-7.3973879,109.6960006,Banjarnegara,Kabupaten Banjarnegara,-7.3973879,109.6960006
KODIM-055,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0710/Pekalongan,"Makodim Kodim 0710/Pekalongan, Pekalongan",-6.8970543,109.6597597,Pekalongan Barat,Kota Pekalongan,-6.8970543,109.6597597
KODIM-056,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0711/Pemalang,"Makodim Kodim 0711/Pemalang, Pemalang",-6.8768009,109.3758817,Pemalang,Kabupaten Pemalang,-6.8768009,109.3758817
KODIM-057,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0712/Tegal,"Makodim Kodim 0712/Tegal, Tegal",-6.9051615,109.1337389,Dukuhturi,Kabupaten Tegal,-6.9051615,109.1337389
KODIM-058,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0713/Brebes,"Makodim Kodim 0713/Brebes, Brebes",-6.8738733,109.0420757,Brebes,Kabupaten Brebes,-6.8738733,109.0420757
KODIM-059,KOREM-013,KODAM-04,Kodam IV/Diponegoro,Korem 071/Wijayakusuma,Kodim 0736/Batang,"Makodim Kodim 0736/Batang, Batang",-6.9067637,109.729104,Batang,Kabupaten Batang,-6.9067637,109.729104
KODIM-060,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0705/Magelang,"Makodim Kodim 0705/Magelang, Magelang",-7.4663404,110.2217267,Magelang Utara,Kota Magelang,-7.4663404,110.2217267
KODIM-061,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0706/Temanggung,"Makodim Kodim 0706/Temanggung, Temanggung",-7.3134861,110.1787696,Temanggung,Kabupaten Temanggung,-7.3134861,110.1787696
KODIM-062,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0707/Wonosobo,"Makodim Kodim 0707/Wonosobo, Wonosobo",-7.3579992,109.9019801,Wonosobo,Kabupaten Wonosobo,-7.3579992,109.9019801
KODIM-063,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0708/Purworejo,"Makodim Kodim 0708/Purworejo, Purworejo",-7.7156548,110.0095367,Purworejo,Kabupaten Purworejo,-7.7156548,110.0095367
KODIM-064,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0709/Kebumen,"Makodim Kodim 0709/Kebumen, Kebumen",-7.6968674,109.6807288,Kebumen,Kabupaten Kebumen,-7.6968674,109.6807288
KODIM-065,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0729/Bantul,"Makodim Kodim 0729/Bantul, Bantul",-7.8804952,110.3346881,Bantul,Kabupaten Bantul,-7.8804952,110.3346881
KODIM-066,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0730/Gunung Kidul,"Makodim Kodim 0730/Gunung Kidul, Gunung Kidul",-7.9637685,110.6063559,Wonosari,Kabupaten Gunungkidul,-7.9637685,110.6063559
KODIM-067,KOREM-014,KODAM-04,Kodam IV/Diponegoro,Korem 072/Pamungkas,Kodim 0731/Kulon Progo,"Makodim Kodim 0731/Kulon Progo, Kulon Progo",-7.8570688,110.1577556,Wates,Kabupaten Kulon Progo,-7.8570688,110.1577556
